idMovimiento;Fecha;Cantidad;Concepto;Notas;Cuenta;Saldo_En_Cuenta
-1;06/08/2010;-4,95 €;17;comida ikea;1;16.197,34 €
-1;06/08/2010;-4,95 €;17;comida ikea;3;3.831,39 €
-1;06/08/2010;2.000,00 €;3;ingreso sobrante banquete;1;16.202,29 €
-1;06/08/2010;2.000,00 €;3;ingreso sobrante banquete;3;3.836,34 €
-1;30/07/2010;1.052,03 €;23;nomina monica julio 2010;1;14.202,29 €
-1;30/07/2010;1.052,03 €;23;nomina monica julio 2010;3;1.836,34 €
-1;28/07/2010;1.459,30 €;23;nomina ruben julio 2010;1;13.150,26 €
-1;28/07/2010;1.459,30 €;23;nomina ruben julio 2010;3;784,31 €
-1;28/07/2010;-674,61 €;9;julio 2010;1;11.690,96 €
-1;28/07/2010;-674,61 €;9;julio 2010;3;-674,99 €
-1;19/07/2010;0,02 €;25;abono intereses;1;12.365,57 €
-1;19/07/2010;0,02 €;25;abono intereses;3;-0,38 €
-1;19/07/2010;1.055,00 €;3;ingreso sobrante banquete;1;12.365,55 €
-1;19/07/2010;1.055,00 €;3;ingreso sobrante banquete;3;-0,40 €
-1;15/07/2010;12,00 €;24;devolucion cuota tarjeta;1;11.310,55 €
-1;15/07/2010;12,00 €;24;devolucion cuota tarjeta;3;-1.055,40 €
-1;15/07/2010;12,00 €;24;devolucion cuota tarjeta;1;11.298,55 €
-1;15/07/2010;12,00 €;24;devolucion cuota tarjeta;3;-1.067,40 €
-1;15/07/2010;-4.500,00 €;3;sacar dinero efectivo para pagar banquete;1;11.286,55 €
-1;15/07/2010;-4.500,00 €;3;sacar dinero efectivo para pagar banquete;3;-1.079,40 €
-1;13/07/2010;-20,00 €;4;efectivo;1;15.786,55 €
-1;13/07/2010;-20,00 €;4;efectivo;3;3.420,60 €
-1;12/07/2010;-50,00 €;4;efectivo;1;15.806,55 €
-1;12/07/2010;-50,00 €;4;efectivo;3;3.440,60 €
-1;10/07/2010;-100,00 €;4;efectivo;1;15.856,55 €
-1;10/07/2010;-100,00 €;4;efectivo;3;3.490,60 €
-1;12/08/2010;400,00 €;34;ahorro a vacaciones;5;3.367,51 €
-1;12/08/2010;-400,00 €;34;ahorro a vacaciones;3;3.590,60 €
-1;14/08/2010;-0,25 €;24;cuadratura de saldo €?;1;15.956,55 €
-1;14/08/2010;-0,25 €;24;cuadratura de saldo €?;5;2.967,51 €
-1;01/08/2010;1,40 €;25;rentabilidades de los ultimos 3 meses;1;15.956,80 €
-1;01/08/2010;1,40 €;25;rentabilidades de los ultimos 3 meses;5;2.967,76 €
-1;01/08/2010;-1,40 €;25;rentabilidades de los ultimos 3 meses;1;15.955,40 €
-1;01/08/2010;-1,40 €;25;rentabilidades de los ultimos 3 meses;3;3.990,60 €
-1;01/08/2010;1,40 €;25;rentabilidades de los ultimos 3 meses;1;15.956,80 €
-1;01/08/2010;1,40 €;25;rentabilidades de los ultimos 3 meses;3;3.992,00 €
-1;10/08/2010;1.000,00 €;34;ahorro regalos;5;2.966,36 €
-1;10/08/2010;-1.000,00 €;34;ahorro regalos;3;3.990,60 €
-1;13/08/2010;216,00 €;34;suscripcion fondos - todos juntos;11;1.017,00 €
-1;13/08/2010;-216,00 €;34;suscripcion fondos - todos juntos;5;1.966,36 €
-1;28/05/2010;9,00 €;34;suscripcion fondos;11;801,00 €
-1;28/05/2010;-9,00 €;34;suscripcion fondos;5;2.182,36 €
-1;28/05/2010;9,00 €;34;suscripcion fondos;11;792,00 €
-1;28/05/2010;-9,00 €;34;suscripcion fondos;5;2.191,36 €
-1;28/05/2010;9,00 €;34;suscripcion fondos;11;783,00 €
-1;28/05/2010;-9,00 €;34;suscripcion fondos;5;2.200,36 €
-1;28/05/2010;9,00 €;34;suscripcion fondos;11;774,00 €
-1;28/05/2010;-9,00 €;34;suscripcion fondos;5;2.209,36 €
-1;13/05/2010;9,00 €;34;suscripcion fondos;11;765,00 €
-1;13/05/2010;-9,00 €;34;suscripcion fondos;5;2.218,36 €
-1;13/05/2010;9,00 €;34;suscripcion fondos;11;756,00 €
-1;13/05/2010;-9,00 €;34;suscripcion fondos;5;2.227,36 €
-1;06/08/2010;1.370,00 €;3;ingreso de regalos chapas, €;1;15.955,40 €
-1;06/08/2010;1.370,00 €;3;ingreso de regalos chapas, €;7;4.520,52 €
-1;10/08/2010;1.000,00 €;34;ahorro de los regalos;6;1.111,69 €
-1;10/08/2010;-1.000,00 €;34;ahorro de los regalos;7;3.150,52 €
-1;09/08/2010;-100,00 €;2;abono monica;1;14.585,40 €
-1;09/08/2010;-100,00 €;2;abono monica;7;4.150,52 €
-1;03/08/2010;-240,00 €;11;para pago del ibi en pioz;1;14.685,40 €
-1;03/08/2010;-240,00 €;11;para pago del ibi en pioz;7;4.250,52 €
-1;03/08/2010;240,00 €;4;para pago del ibi en pioz;1;14.925,40 €
-1;03/08/2010;240,00 €;4;para pago del ibi en pioz;7;4.490,52 €
-1;03/08/2010;-240,00 €;4;para pago del ibi en pioz;1;14.685,40 €
-1;03/08/2010;-240,00 €;4;para pago del ibi en pioz;7;4.250,52 €
-1;03/08/2010;81,00 €;3;ingreso sobrante banquete;1;14.925,40 €
-1;03/08/2010;81,00 €;3;ingreso sobrante banquete;7;4.490,52 €
-1;03/08/2010;133,92 €;3;sobrante coronas noruegas;1;14.844,40 €
-1;03/08/2010;133,92 €;3;sobrante coronas noruegas;7;4.409,52 €
-1;03/08/2010;300,00 €;3;efectivo regalos;1;14.710,48 €
-1;03/08/2010;300,00 €;3;efectivo regalos;7;4.275,60 €
-1;27/07/2010;-7,50 €;24;cuota tarjeta;1;14.410,48 €
-1;27/07/2010;-7,50 €;24;cuota tarjeta;7;3.975,60 €
-1;27/07/2010;-2,00 €;3;autopistas;1;14.417,98 €
-1;27/07/2010;-2,00 €;3;autopistas;7;3.983,10 €
-1;27/07/2010;-3,15 €;3;autopistas;1;14.419,98 €
-1;27/07/2010;-3,15 €;3;autopistas;7;3.985,10 €
